aback,4,soare > clink > aahed > aback
abase,3,soare > leuch > abase
abate,3,soare > glitz > abate
abbey,4,soare > canal > theta > abbey
abbot,3,soare > cloot > abbot
abhor,4,soare > maron > arbor > abhor
abide,4,soare > gault > anime > abide
abled,4,soare > canal > fella > abled
abode,3,soare > bundt > abode
abort,3,soare > abaca > abort
about,4,soare > cloot > adopt > about
above,3,soare > bundt > above
abuse,4,soare > thump > cause > abuse
abyss,3,soare > linty > abyss
acorn,3,soare > abaca > acorn
acrid,4,soare > riyal > tapir > acrid
actor,4,soare > maron > arbor > actor
acute,3,soare > gault > acute
adage,4,soare > glitz > agape > adage
adapt,4,soare > clink > guava > adapt
adept,4,soare > canal > theta > adept
admin,4,soare > clint > ninja > admin
admit,4,soare > clint > audit > admit
adobe,3,soare > bundt > adobe
adopt,3,soare > cloot > adopt
adore,2,soare > adore
adorn,3,soare > abaca > adorn
adult,4,soare > clint > vault > adult
affix,4,soare > clint > maxim > affix
afire,3,soare > azure > afire
afoot,3,soare > cloot > afoot
afoul,4,soare > cloot > viola > afoul
after,3,soare > talar > after
again,3,soare > clink > again
agape,3,soare > glitz > agape
agate,3,soare > glitz > agate
agent,4,soare > canal > enema > agent
agile,4,soare > gault > angle > agile
aging,4,soare > clint > aping > aging
aglow,3,soare > cloot > aglow
agony,4,soare > cloot > among > agony
agora,3,soare > abaca > agora
agree,3,soare > barca > agree
ahead,3,soare > canal > ahead
aider,4,soare > talar > abaci > aider
aisle,4,soare > thump > false > aisle
alarm,3,soare > dhuti > alarm
album,4,soare > clint > alpha > album
alert,3,soare > altho > alert
algae,3,soare > gault > algae
alibi,3,soare > clint > alibi
alien,3,soare > canal > alien
align,3,soare > clint > align
alike,4,soare > gault > alive > alike
alive,3,soare > gault > alive
allay,4,soare > clint > alpha > allay
alley,4,soare > canal > fella > alley
allot,3,soare > cloot > allot
allow,4,soare > cloot > alloy > allow
alloy,3,soare > cloot > alloy
aloft,4,soare > cloot > abaft > aloft
alone,3,soare > bundt > alone
along,4,soare > cloot > aloud > along
aloof,3,soare > cloot > aloof
aloud,3,soare > cloot > aloud
alpha,3,soare > clint > alpha
altar,4,soare > riyal > lunar > altar
alter,3,soare > talar > alter
amass,3,soare > chals > amass
amaze,3,soare > glitz > amaze
amber,4,soare > talar > abaci > amber
amble,4,soare > gault > ample > amble
amend,4,soare > canal > enema > amend
amiss,4,soare > linty > basis > amiss
amity,4,soare > clint > faith > amity
among,3,soare > cloot > among
ample,3,soare > gault > ample
amply,4,soare > clint > dampy > amply
amuse,3,soare > thump > amuse
angel,3,soare > canal > angel
anger,4,soare > talar > abaci > anger
angle,3,soare > gault > angle
angry,4,soare > humic > parry > angry
angst,3,soare > linty > angst
anime,3,soare > gault > anime
ankle,4,soare > gault > ample > ankle
annex,3,soare > canal > annex
annoy,4,soare > cloot > wagon > annoy
annul,4,soare > clint > manly > annul
anode,3,soare > bundt > anode
antic,3,soare > clint > antic
